coimbatore_living_costsres_id,name,establishment,url,address,city,city_id,locality,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,timings,average_cost_for_two,price_range,currency,highlights,aggregate_rating,rating_text,votes,photo_count,opentable_support,delivery,takeaway
3000052,Topaz,['Bar'],https://www.zomato.com/coimbatore/topaz-nehru-stadium?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Alankara Grand, 10, Sivasamy Road, Ram Nagar, Nehru Stadium, Coimbatore",Coimbatore,30,"Hotel Alankara Grand, Nehru Stadium",11.010139082,76.9659732655,,1,"Hotel Alankara Grand, Nehru Stadium, Coimbatore",Finger Food,"11 AM to 3 PM, 6 PM to 11 PM",1000,3,Rs.,"['Credit Card', 'Lunch', 'Serves Alcohol', 'Dinner', 'Air Conditioned', 'Nightlife', 'Indoor Seating', 'Fullbar']",3.1,Average,7,0,0,-1,-1
3000051,Gossip,['Bar'],https://www.zomato.com/coimbatore/gossip-nehru-stadium?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Alankara Grand, 10, Sivasamy Road, Ram Nagar, Nehru Stadium, Coimbatore",Coimbatore,30,"Hotel Alankara Grand, Nehru Stadium",11.009534515799999,76.9660168514,,1,"Hotel Alankara Grand, Nehru Stadium, Coimbatore",Finger Food,11 AM to 11 PM,1000,3,Rs.,"['Cash', 'Takeaway Available', 'Dinner', 'Credit Card', 'Lunch', 'Serves Alcohol', 'Indoor Seating', 'Wifi', 'Fullbar', 'Air Conditioned', 'Nightlife']",3.1,Average,5,4,0,-1,-1
3001281,B 'n' W Bar,['Bar'],https://www.zomato.com/coimbatore/b-n-w-bar-town-hall?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"355, Hotel Rathna Residency, Variety Hall Road, Town Hall, Coimbatore",Coimbatore,30,Town Hall,10.998357551600002,76.9642221183,,1,"Town Hall, Coimbatore",Finger Food,11 AM to 11:30 PM,1500,4,Rs.,"['Dinner', 'Cash', 'Debit Card', 'Lunch', 'Credit Card', 'Nightlife', 'Indoor Seating', 'Fullbar', 'Air Conditioned']",3.0,Average,4,20,0,-1,-1
3001079,Relax Inn Bar,['Bar'],https://www.zomato.com/coimbatore/relax-inn-bar-race-course?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Vaidurya, 73, Geetha Hall Road, Race Course, Coimbatore",Coimbatore,30,Race Course,10.996867630599999,76.9688556343,,1,"Race Course, Coimbatore",Finger Food,11 AM to 11 PM,1000,3,Rs.,"['Cash', 'Debit Card', 'Serves Alcohol', 'Credit Card', 'Takeaway Available', 'Air Conditioned', 'Nightlife', 'Indoor Seating', 'Fullbar']",0.0,Not rated,2,6,0,-1,-1
3002247,Big Ben Bar,['Bar'],https://www.zomato.com/coimbatore/big-ben-bar-gandhipuram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"262, Cross Cut Road, Peranaidu Layout, Gandhipuram, Coimbatore",Coimbatore,30,Gandhipuram,11.016777380799999,76.9648658484,,1,"Gandhipuram, Coimbatore","Finger Food, North Indian, Chinese",11 AM to 12 Midnight,800,3,Rs.,"['Cash', 'Lunch', 'Debit Card', 'Credit Card', 'Takeaway Available', 'Dinner', 'Indoor Seating', 'Fullbar', 'Serves Cocktails']",0.0,Not rated,2,0,0,-1,-1
3000916,Orion Bar & Restaurant,['Casual Dining'],https://www.zomato.com/coimbatore/orion-bar-restaurant-town-hall?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"48, VH Road, Behind Railway Station, Town Hall, Coimbatore",Coimbatore,30,Town Hall,10.9979166667,76.961975,,1,"Town Hall, Coimbatore","North Indian, South Indian",11 AM to 11 PM (Mon-Sun),800,3,Rs.,"['Takeaway Available', 'Lunch', 'Serves Alcohol', 'Cash', 'Debit Card', 'Dinner', 'Credit Card', 'Air Conditioned', 'Fullbar', 'Indoor Seating']",0.0,Not rated,2,0,0,-1,-1
3001933,Underworld Bar,['Bar'],https://www.zomato.com/coimbatore/underworld-bar-race-course?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Beside Shanti Theatre, State Bank Road, Race Course, Coimbatore",Coimbatore,30,Race Course,10.9989084946,76.96837853640001,,1,"Race Course, Coimbatore","Finger Food, South Indian",12 Noon to 11 PM,600,2,Rs.,"['Cash', 'Lunch', 'Credit Card', 'Takeaway Available', 'Dinner', 'Indoor Seating', 'Fullbar']",0.0,Not rated,2,2,0,-1,-1
3001602,Annamalai Bar,['Bar'],https://www.zomato.com/coimbatore/annamalai-bar-race-course?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Beside Shanti Theatre, State Bank Road, Race Course, Coimbatore",Coimbatore,30,Race Course,10.9989075072,76.96837753060001,,1,"Race Course, Coimbatore","Finger Food, South Indian",12 Noon to 11 PM,1000,3,Rs.,"['Cash', 'Dinner', 'Credit Card', 'Lunch', 'Air Conditioned', 'Fullbar', 'Indoor Seating']",0.0,Not rated,2,2,0,-1,-1
18820580,Recharge Bar,['Bar'],https://www.zomato.com/coimbatore/recharge-bar-gandhipuram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Forest Transit Hotel, 7, Avarampalayam Road, Gandhipuram, Coimbatore",Coimbatore,30,Gandhipuram,11.024136,76.978374,,1,"Gandhipuram, Coimbatore",Finger Food,11 AM to 12 Midnight,600,2,Rs.,"['Credit Card', 'Cash', 'Debit Card', 'Live Music', 'Air Conditioned', 'Smoking Area', 'Fullbar', 'Indoor Seating', 'Wifi']",0.0,Not rated,1,11,0,-1,-1
3002308,Peacock Bar,['Casual Dining'],https://www.zomato.com/coimbatore/peacock-bar-gandhipuram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"125, Rajaji Road, Peranaidu Layout, Chinniyampalayam, Ram Nagar, Gandhipuram, Coimbatore",Coimbatore,30,Gandhipuram,11.016566429300001,76.963223666,,1,"Gandhipuram, Coimbatore","North Indian, Finger Food",11 AM to 11 PM,600,2,Rs.,"['Cash', 'Lunch', 'Credit Card', 'Takeaway Available', 'Dinner', 'Debit Card', 'Indoor Seating', 'Fullbar']",0.0,Not rated,1,0,0,-1,-1
3002147,Chill Out Bar,['Casual Dining'],https://www.zomato.com/coimbatore/chill-out-bar-rs-puram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"2, Venkatasamy Road East, RS Puram, Coimbatore",Coimbatore,30,RS Puram,11.0130388104,76.9544132799,,1,"RS Puram, Coimbatore","North Indian, Mughlai, Finger Food",12 Noon to 11:45 PM,1000,3,Rs.,"['Credit Card', 'Takeaway Available', 'Dinner', 'Cash', 'Debit Card', 'Lunch', 'Indoor Seating', 'Fullbar', 'Nightlife', 'Table Reservation Not Required']",0.0,Not rated,1,0,0,-1,-1
3000057,Rafters,['Bar'],https://www.zomato.com/coimbatore/rafters-nehru-stadium?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Heritage Inn, 73, Sivaswamy Road, Ramnagar, Nehru Stadium, Coimbatore",Coimbatore,30,"Hotel Heritage Inn, Nehru Stadium",11.0102496612,76.9669891521,,1,"Hotel Heritage Inn, Nehru Stadium, Coimbatore",Finger Food,11 AM to 11 PM,1000,3,Rs.,"['Credit Card', 'Lunch', 'Serves Alcohol', 'Dinner', 'Air Conditioned', 'Nightlife', 'Indoor Seating', 'Fullbar']",0.0,Not rated,1,5,0,-1,-1
3001980,Golden Resto Bar,['Casual Dining'],https://www.zomato.com/coimbatore/golden-resto-bar-gandhipuram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"26, Arts College Road, Near City Judicial Court, Behind KG Hospital, Gopalapuram,",Coimbatore,30,Gandhipuram,10.999847,76.971786,,1,"Gandhipuram, Coimbatore","Chinese, Indian",12 Noon to 12 Midnight,800,3,Rs.,"['Dinner', 'Credit Card', 'Lunch', 'Cash', 'Debit Card', 'Fullbar', 'Free Parking', 'Smoking Area', 'Indoor Seating', 'Live Music', 'Air Conditioned', 'Nightlife']",0.0,Not rated,1,0,0,-1,-1
18745940,Rainbow Bar,['Bar'],https://www.zomato.com/coimbatore/rainbow-bar-1-ganapathy?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"70, Sathy Road, Moolai Thottam, Sri Laxmi Nagar, Ganapathypudur, Coimbatore",Coimbatore,30,Ganapathy,11.0422257117,76.98353368789999,,1,"Ganapathy, Coimbatore",Finger Food,12 Noon to 12 Midnight,1200,3,Rs.,"['Lunch', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Fullbar', 'Digital Payments Accepted', 'Indoor Seating']",0.0,Not rated,1,0,0,-1,-1
3001710,Emperor Bar,['Bar'],https://www.zomato.com/coimbatore/emperor-bar-race-course?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Thaai, Opposite Collector Office, State Bank Road, Race Course, Coimbatore",Coimbatore,30,Race Course,10.9973724998,76.96797855199999,,1,"Race Course, Coimbatore",Finger Food,12 Noon to 11 PM,800,3,Rs.,"['Cash', 'Lunch', 'Credit Card', 'Dinner', 'Smoking Area', 'Nightlife', 'Indoor Seating', 'Fullbar']",0.0,Not rated,1,0,0,-1,-1
3001734,Park Inn Bar,['Bar'],https://www.zomato.com/coimbatore/park-inn-bar-race-course?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Park Inn Hotel, Geetha Hall Road, Race Course, Coimbatore",Coimbatore,30,Race Course,10.9969035047,76.968918331,,1,"Race Course, Coimbatore","Finger Food, South Indian",12 Noon to 11 PM,700,2,Rs.,"['Cash', 'Debit Card', 'Dinner', 'Credit Card', 'Takeaway Available', 'Lunch', 'Air Conditioned', 'Nightlife', 'Indoor Seating', 'Fullbar']",0.0,Not rated,0,0,0,-1,-1
